mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Airport,place-aport,1052,2567,71,15,36,82,1
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Government Center,place-gover,24222,51,71,341,1,365,2
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Stony Brook,place-sbmnl,6439,293,54,119,5,764,3
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Aquarium,place-aqucl,953,560,71,13,8,145,4
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Sullivan Square,place-sull,1085,6383,54,20,118,245,5
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Beachmont,place-bmmnl,320,894,71,5,13,30,6
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Tufts Medical Center,place-tumnl,2743,5716,54,51,106,790,7
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Bowdoin,place-bomnl,648,0,71,9,0,9,8
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Wellington,place-welln,440,3284,54,8,61,106,9
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,4145,81,71,58,1,66,10
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Maverick,place-mvbcl,1772,2761,71,25,39,108,11
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Assembly,place-astao,643,14684,54,12,272,466,12
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Back Bay,place-bbsta,34807,39572,54,645,733,4212,13
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Maverick,place-mvbcl,2111,18644,71,30,263,496,14
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Orient Heights,place-orhte,331,1050,71,5,15,45,15
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Revere Beach,place-rbmnl,78,591,71,1,8,17,16
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Orient Heights,place-orhte,428,8511,71,6,120,376,17
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Chinatown,place-chncl,5596,13793,54,104,255,3744,18
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Revere Beach,place-rbmnl,137,12504,71,2,176,123,19
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,State,place-state,5814,412,71,82,6,141,20
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Community College,place-ccmnl,1116,27289,54,21,505,987,21
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,State,place-state,15578,788,71,219,11,575,22
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Suffolk Downs,place-sdmnl,141,128,71,2,2,41,23
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Downtown Crossing,place-dwnxg,24220,72265,54,449,1338,2784,24
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Wonderland,place-wondl,0,1096,71,0,15,0,25
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Suffolk Downs,place-sdmnl,97,1495,71,1,21,388,26
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Forest Hills,place-forhl,121142,0,54,2243,0,2243,27
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Wonderland,place-wondl,0,8766,71,0,123,0,28
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Wood Island,place-wimnl,93,618,24,4,26,54,29
Heavy Rail,Fall 2023,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Green Street,place-grnst,30055,1272,54,557,24,2784,30
Heavy Rail,Fall 2023,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Airport,place-aport,2062,6581,71,29,93,176,31
