mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Airport,place-aport,1792,3543,75,24,47,104,1
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Aquarium,place-aqucl,1192,758,75,16,10,160,2
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Beachmont,place-bmmnl,445,1158,75,6,15,42,3
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Bowdoin,place-bomnl,759,0,75,10,0,10,4
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,5936,71,75,79,1,88,5
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Maverick,place-mvbcl,2201,3228,75,29,43,133,6
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Orient Heights,place-orhte,315,1331,75,4,18,59,7
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Revere Beach,place-rbmnl,93,1044,75,1,14,28,8
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,State,place-state,5907,337,75,79,4,160,9
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Suffolk Downs,place-sdmnl,132,177,75,2,2,53,10
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Wonderland,place-wondl,0,1785,75,0,24,0,11
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Wood Island,place-wimnl,211,1830,74,3,25,69,12
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Airport,place-aport,2692,7354,75,36,98,207,13
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Aquarium,place-aqucl,2205,2487,75,29,33,320,14
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Beachmont,place-bmmnl,635,2522,75,8,34,96,15
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Bowdoin,place-bomnl,1292,0,75,17,0,17,16
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Government Center,place-gover,12013,92,75,160,1,176,17
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Maverick,place-mvbcl,4462,7442,75,59,99,277,18
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Orient Heights,place-orhte,982,3320,75,13,44,129,19
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Revere Beach,place-rbmnl,227,2651,75,3,35,61,20
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,State,place-state,12040,581,75,161,8,324,21
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Suffolk Downs,place-sdmnl,126,515,75,2,7,124,22
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Wonderland,place-wondl,0,4564,75,0,61,0,23
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_02,EARLY_AM,Wood Island,place-wimnl,546,3545,74,7,48,144,24
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_03,AM_PEAK,Airport,place-aport,6918,17051,75,92,227,514,25
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_03,AM_PEAK,Aquarium,place-aqucl,6963,10927,75,93,146,884,26
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_03,AM_PEAK,Beachmont,place-bmmnl,2613,6158,75,35,82,258,27
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_03,AM_PEAK,Bowdoin,place-bomnl,5824,0,75,78,0,78,28
