"mode","season","route_id","route_name","dir_id","day_type_id","day_type_name","stop_name","parent_station","total_ons","total_offs","number_service_days","hour_of_service","average_ons","average_offs","average_flow"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","3641","7825","73","00:00:00","50","107","372"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","698","2113","73","01:00:00","10","29","88"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","86","424","73","02:00:00","1","6","18"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","0","1","73","03:00:00","0","0","0"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","0","2","73","04:00:00","0","0","0"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","1378","2566","73","05:00:00","19","35","86"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","2718","6690","73","06:00:00","37","92","197"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","3412","7581","73","07:00:00","47","104","240"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","3384","7875","73","08:00:00","46","108","232"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","3090","6982","73","09:00:00","42","96","253"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","3627","8017","73","10:00:00","50","110","340"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","4144","10081","73","11:00:00","57","138","416"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","5755","13104","73","12:00:00","79","180","564"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","6467","14582","73","13:00:00","89","200","664"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","9575","21827","73","14:00:00","131","299","1054"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","10708","27828","73","15:00:00","147","381","1516"
"Heavy Rail","Fall 2025","Blue","Blue Line","EB","day_type_01","Weekday","Airport","place-aport","12274","33084","73","16:00:00","168","453","1920"
