community,community_category,2020_Housing_Units,minimum_multi_family_unit capacity,unit_cpacity_of_total_housing_units,minimum_land_area,developable_station_area,percent_of_district_to_be_located_in_station_area
Abington,Commuter Rail,"6,811","1,022",15%,50,307,40%
Acton,Commuter Rail,"9,219","1,383",15%,50,246,20%
Amesbury,Adjacent community,"7,889",789,10%,50, -   ,0%
Andover,Commuter Rail,"13,541","2,031",15%,50,587,50%
Arlington,Adjacent community,"20,461","2,046",10%,32,58,0%
Ashburnham,Adjacent small town,"2,730",137,5%, -   , -   ,0%
Ashby,Adjacent small town,"1,243",62,5%, -   , -   ,0%
Ashland,Commuter Rail,"7,495","1,124",15%,50,272,40%
Attleboro,Commuter Rail,"19,097","2,865",15%,50,467,50%
Auburn,Adjacent community,"6,999",750,11%,50, -   ,0%
Ayer,Commuter Rail,"3,807",750,20%,50,284,40%
Bedford,Adjacent community,"5,444",750,14%,50, -   ,0%
Bellingham,Adjacent community,"6,749",750,11%,50, -   ,0%
Belmont,Commuter Rail,"10,882","1,632",15%,27,502,50%
Berkley,Adjacent small town,"2,360",118,5%, -   ,79,0%
Beverly,Commuter Rail,"17,887","2,683",15%,50,"1,435",90%
Billerica,Commuter Rail,"15,485","2,323",15%,50,308,40%
Bourne,Adjacent small town,"11,140",557,5%, -   , -   ,0%
Boxborough,Adjacent small town,"2,362",118,5%, -   , -   ,0%
Boxford,Adjacent small town,"2,818",141,5%, -   , -   ,0%
Braintree,Rapid Transit,"15,077","3,769",25%,50,485,50%
Bridgewater,Commuter Rail,"9,342","1,401",15%,50,181,20%
Brockton,Commuter Rail,"37,304","5,596",15%,50,995,90%
Brookline,Rapid Transit,"27,961","6,990",25%,41,"1,349",90%
Burlington,Adjacent community,"10,431","1,043",10%,50, -   ,0%
Cambridge,Rapid Transit,"53,907","13,477",25%,32,"1,392",90%
Canton,Commuter Rail,"9,930","1,490",15%,50,451,50%
Carlisle,Adjacent small town,"1,897",95,5%, -   , -   ,0%
Carver,Adjacent small town,"4,701",235,5%, -   , -   ,0%
Chelmsford,Adjacent community,"14,769","1,477",10%,50, -   ,0%
Chelsea,Rapid Transit,"14,554","3,639",25%,14,608,75%
Cohasset,Commuter Rail,"3,341",638,19%,43,241,20%
Concord,Commuter Rail,"7,295","1,094",15%,50,519,50%
Danvers,Adjacent community,"11,763","1,176",10%,50, -   ,0%
Dedham,Commuter Rail,"10,459","1,569",15%,49,507,50%
Dover,Adjacent small town,"2,046",102,5%, -   , -   ,0%
Dracut,Adjacent community,"12,325","1,233",10%,50, -   ,0%
Duxbury,Adjacent community,"6,274",750,12%,50, -   ,0%
East Bridgewater,Adjacent community,"5,211",750,14%,50, -   ,0%
Easton,Adjacent community,"9,132",913,10%,50, -   ,0%
Essex,Adjacent small town,"1,662",83,5%, -   , -   ,0%
Everett,Rapid Transit,"18,208","4,552",25%,22,200,20%
Fall River,Commuter Rail,"44,346","6,652",15%,50,324,40%
Fitchburg,Commuter Rail,"17,452","2,618",15%,50,601,75%
Foxborough,Commuter Rail,"7,682","1,152",15%,50,352,40%
Framingham,Commuter Rail,"29,033","4,355",15%,50,270,40%
Franklin,Commuter Rail,"12,551","1,883",15%,50,643,75%
Freetown,Commuter Rail,"3,485",750,22%,50,346,40%
Georgetown,Adjacent community,"3,159",750,24%,50, -   ,0%
Gloucester,Commuter Rail,"15,133","2,270",15%,50,430,50%
Grafton,Adjacent community,"7,760",776,10%,50,82,0%
Groton,Adjacent small town,"4,153",208,5%, -   , -   ,0%
Groveland,Adjacent small town,"2,596",130,5%, -   , -   ,0%
Halifax,Commuter Rail,"3,107",750,24%,50,300,40%
Hamilton,Commuter Rail,"2,925",731,25%,49,184,20%
Hanover,Adjacent community,"5,268",750,14%,50, -   ,0%
Hanson,Commuter Rail,"3,960",750,19%,50,218,20%
Harvard,Adjacent small town,"2,251",113,5%, -   , -   ,0%
Haverhill,Commuter Rail,"27,927","4,189",15%,50,415,50%
Hingham,Commuter Rail,"9,930","1,490",15%,50,757,75%
Holbrook,Commuter Rail,"4,414",662,15%,41,170,20%
Holden,Adjacent community,"7,439",750,10%,50, -   ,0%
Holliston,Adjacent community,"5,562",750,13%,50, -   ,0%
Hopkinton,Adjacent community,"6,645",750,11%,50,79,0%
Hull,Adjacent community,"5,856",586,10%,7,34,0%
Ipswich,Commuter Rail,"6,476",971,15%,50,327,40%
Kingston,Commuter Rail,"5,364",805,15%,50,345,40%
Lakeville,Adjacent small town,"4,624",231,5%, -   ,30,0%
Lancaster,Adjacent small town,"2,788",139,5%, -   , -   ,0%
Lawrence,Commuter Rail,"30,008","4,501",15%,39,271,40%
Leicester,Adjacent small town,"4,371",219,5%, -   , -   ,0%
Leominster,Commuter Rail,"18,732","2,810",15%,50,340,40%
Lexington,Adjacent community,"12,310","1,231",10%,50, -   ,0%
Lincoln,Commuter Rail,"2,771",635,23%,42,130,20%
Littleton,Commuter Rail,"3,889",750,19%,50,244,20%
Lowell,Commuter Rail,"43,482","6,522",15%,50,274,40%
Lunenburg,Adjacent small town,"4,805",240,5%, -   , -   ,0%
Lynn,Commuter Rail,"36,782","5,517",15%,50,637,75%
Lynnfield,Adjacent community,"4,773",607,13%,40, -   ,0%
Malden,Rapid Transit,"27,721","6,930",25%,31,484,50%
Manchester,Commuter Rail,"2,433",559,23%,37,305,40%
Mansfield,Commuter Rail,"9,282","1,392",15%,50,327,40%
Marblehead,Adjacent community,"8,965",897,10%,27, -   ,0%
Marlborough,Adjacent community,"17,547","1,755",10%,50, -   ,0%
Marshfield,Adjacent community,"11,575","1,158",10%,50, -   ,0%
Maynard,Adjacent community,"4,741",474,10%,21, -   ,0%
Medfield,Adjacent community,"4,450",750,17%,50, -   ,0%
Medford,Rapid Transit,"25,770","6,443",25%,35,714,75%
Medway,Adjacent community,"4,826",750,16%,50, -   ,0%
