name,alias,details,,,
title,Title,Rethinking the Retail Strip Sites,,,
tbl_table,Table,rethinking_retail_sites,,,
descriptn,Description,Dataset for MAPC's Rethinking the Retail Strip research report. ,,,
http://rethinking-the-retail-strip.mapc.org/,,,,,
OBJECTID,objectid,Internal feature number.,,,
Shape,shape,Feature geometry.,,,
site_oid,Site ID,Unique integer ID for each site in the MAPC region.,,,
muni_id,Municipal ID,Unique integer ID for each municipality in Massachusetts.,,,
municipal,Municipality,Municipality (city or town) name. Sites assigned to municipality in which centroid falls.,,,
type_id,Community Type ID,Integer ID of MAPC Community Type for the municipality,,,
subtype_id,Community Subtype ID,Integer ID of MAPC Community Subtype for the municipality,,,
commtype,Community Type,MAPC Community Type of municipality,,,
county,County,County in which site is located.,,,
subregion,Subregion,Name of principal MAPC subregion in which site is located.,,,
hsubmkt,Housing submarket,Integer ID of MAPC housing submarket in which site is located.,,,
transittyp,Transit type,If in a transit station area, MAPC classification of transit area type.,,
nparcels,Number of Parcels on Site,Number of Parcels included in site,,,
parcelids,Parcel IDs,MAPC-format IDs of parcels on site.,,,
parceladdr,Parcel Address(es),Short-form string-format list of the parcel addresses on each site,,,
highway,Adjacent State Highway,Primary route number for MA state roadway adjacent to site (if any),,,
statname,Transit station name,Name of closest transit station, if site within half mile of station.,,
stattyp,Transit station type,Type of closest transit station, if site within half mile of station.,,
busstop,Bus route and line,Bus route and line number if site within half mile of bus line.,,,
land_value,Site Assessed Land Value,Combined assessed land value of all parcels in site,,,
bldg_value,Site Assessed Building Value,Combined assessed building value of all parcels in site,,,
othr_value,Site Assessed Other Value,Combined assessed other value on all parcels in site,,,
total_valu,Site Assessed Total Value,Combined assessed total value of all parcels on site,,,
bldlnd_rat,Building to land value ratio,Ratio of assessed building value to assessed land value (current conditions)  ,,,
yr_built,Year built,Year built, according to local assessor. If multiple parcels, most recent construction year is shown. ,
buildar_ac,Buildable area (ac),Site buildable area in acres,,,
landv_pac,Site land value per acre,Assessed land value per acre for entire site,,,
totvalpacr,totvalpacr,undefined,,,
sitearea_a,Site area (acres),Site area in acres,,,
imppreac,Impervious Area (current conditions) ,Impervious area on site, based on 2005 aerial photography (acres),,
pavear_ac,Paved Area (current conditions) ,Paved area on site, based on 2005 aerial photography (acres),,
dstswrft,Distance to sewer line (ft),Straight-line distance to nearest known sewer line. ,,,
walkscore,Walk Score â„?Walk score at site.,,,,
pub_ind,Public School Walkability Index,Index measure of how many public school grades are available withing walking distance. Range 0-7.  ,,,
noncarcmtp,Percent non-auto commuters,Percent of commuters in the surrounding census tract who commute by methods other than automobiles, 2013 - 2017,,
jobs45tr,Jobs within 45 minute by transit,Total jobs accessible via transit in 45 minutes or less during morning rush hour,2018,,
jobs30car,Jobs within 30 minutes by personal car,Total jobs accessible via car in 30 minutes or less during morning rush hour,2018,,
ch21e_p,Overlap with Chapter 21E site (%),Percent site's area that overlaps with Chapter 21E oil and hazardous material release site,,,
aulsite_p,Overlap with AUL site (%),Percent site's area that overlaps with MassDEP Activity Use Limitation (AUL) site,,,
fz100_p,Overlap with 1% FEMA SFHA (%),Percent site's area that overlap with 1% Federal Emergency Management Agency (FEMA) Special Flood Hazard Area (SFHA),,,
fz500_p,Overlap with 0.2% FEMA flood zones (%),Percent site's area that overlaps with 0.2% Federal Emergency Management Agency (FEMA) flood zones,,,
excl_p,Overlap with non-buildable area (%),Percent site's area that overlaps  with non-buildable area,,,
z2wpa_p,Overlap with Z2 WPA area (%),Percent site's area that overlaps  with Zone 2 Wellhead Protection Area (WPA),,,
opensp_p,Overlap with permanently protected open space (%),Percent overlap with permanently protected open space,,,
wtlnd100_p,Overlap with 100-ft wetland buffer (%),Percent overlap with MassDEP wetland or 100-ft buffer,,,
estcapres,Estimated Housing Capacity (all residential),Estimated number of housing units that could be built on the site assuming 100% residential,,,
estcapmix,Estimaged Housing Capacity (mixed use),Estimated number of housing units that could be built on the site if part of first floor dedicated to commercial space,,,
taxrv_pre,Estimated tax revenue (current conditions),Estimated current annual tax revenue from site, based on assessed value and local tax rate,,
taxrv_post,Estimated post-retrofit tax revenue (all residential),Estimated potential annual tax revenue from site, based on estimated units assuming all-residential new development, new construction values, and local tax rate
far_pre,FAR (current) ,Current Floor Area Ratio (FAR), based on local assessor data,,
hlthcmscr,Healthy Communities Score,Healthy Communities Score,,,
hlthwtscr,hlthwtscr,undefined,,,
travchscr,Travel Choices Score,Travel Choices Score,,,
grwtpotscr,Growth Potential Score,Growth Potential Score,,,
ovscr,Overall Score,Overall Score,,,
scrcat,Quintile Category,Integer representing which regional quintile site's overall score falls into,,,
taxrevchg,Estimated New Tax Revenue  ($),Difference between estimated pre- and post-retrofit tax revenue, based on change in building value,,
munirank,Rank within municipality,Site's rank by overall score relative to other sites in the city or town.,,,
regirank,Rank within region,Site's rank by overall score relative to other sites in the MAPC region.,,,
munpctile,Municipal Overall Score Percentile,Site's overall score percentile relative to other sites in the same city or town.,,,
munqntile,Municipal Overall Score Quintile,Integer representing which municipal quintile the site's overall score falls into,,,
regipctile,Regional Overall Score Percentile,Site's overall score percentile relative to other sites in the MAPC region.,,,
long,Longitude,Site centroid longitude coordinate.,,,
lat,Lattitude,Site centroid latitude coordinate.,,,
st_area(shape),st_area(shape),undefined,,,
st_length(shape),st_length(shape),undefined,,,
