objectid,site_oid,muni_id,municipal,type_id,subtype_id,commtype,county,subregion,hsubmkt,transittyp,nparcels,parcelids,parceladdr,highway,statname,stattyp,busstop,land_value,bldg_value,othr_value,total_valu,bldlnd_rat,yr_built,buildar_ac,landv_pac,totvalpacr,sitearea_a,imppreac,pavear_ac,dstswrft,walkscore,pub_ind,noncarcmtp,jobs45tr,jobs30car,ch21e_p,aulsite_p,fz100_p,fz500_p,excl_p,z2wpa_p,opensp_p,wtlnd100_p,estcapres,estcapmix,taxrv_pre,taxrv_post,far_pre,hlthcmscr,hlthwtscr,travchscr,grwtpotscr,ovscr,scrcat,taxrevchg,munirank,regirank,munpctile,munqntile,regipctile,long,lat,shape
1,9475.00000000,49.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.00000000,Transformational Subway,1.00000000,[1252601],22 MCGRATH HWY,28,Washington Street,Rapid Transit, ,31775500.00000000,19836200.00000000,1226600.00000000,52838300.00000000,0.62000000,1980.00000000,11.46000000,5357654.00000000,4557620.38058751,11.59000000,452.78000000,0.00000000,0.00000000,95.00000000,1.00000000,72.20000000,702779.00000000,1315298.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.10000000,0.00000000,1.10000000,0.00000000,1198.00000000,990.00000000,669990.00000000,1854897.00000000,0.30000000,0.85000000,1.00000000,0.94000000,0.95000000,3.96000000,5.00000000,1184908.00000000,1.00000000,1.00000000,100.00000000,5.00000000,100.00000000,-71.08497095,42.37403410,E60200007D000000080010006A6900008A0B000001100004BDF4A69CB31599FDD3A1A511CC9A3792C423D6D64D8C952CDECC1590FA0EB4BA11A28115FEF803B2E702F6C90D809F09C091039649DC92038A43FA9203A23BD69403B634D29503B02DF29503A426EE96039C1FEE96039218CC97038A11EA97039E0AEC9703B602EA9703F203EC9703DC0BCC9703C612EE9603EE19EE9603DA20F09503E227F69403EA2ED49403F435FA9203E03CFE9103C644C09103F24AE48F03DC51EC8D03C459E49E05CCA601D88903CA6BC08703D472E48503FE78CE8303E87FF48003F28601DAFE02FE8C01C4FC02C89401CCF902D49A01D6F602FEA001FCF302E8A701E8F002F6AD01F0ED02E0B401FEE902ECBA01C6E702D6C101F0E302C6C701DCE002F0CD01C8DC02DCD301F4D802EAD901C0D502D6DF01ECD002E4E501FACC02F0EB01C6C902FEF001D4C402EEF601C4C002DAFC01F0BB02C88202C0B702F68702CEB202E68C02FCAD02D69202EEA802E29702FCA302D69C02CC9F02E4A102FC9902F2A602C6E903F0980488FA24F8EA13E8F448E6B49301BC9E11C882138AF705F4910686A00CF0AF068AA82EE0E30E88A114C0CF06A89140BC848601B0D616F2981E8CEF02CAEF069EAF03C08908B67BDED5029C79F0CF02AA8102DABD04948A03C28B05ACBF03E2F70484B803C49E0588F002F6DC048E8303E0F50386FD03F8D104BAB003C4CC038C9004CAA404B2CE02C2FA01AE8C03B0CE0690AE09AED013A803A607BAB801A48303A4EF0DCCEF05A2F901A88204BCFB01BE9304B8F83BF8DF1BA4E80BC6BC058880019E0AA2FE03A25980C1028E38889F0AF85C949B0A920EACDA02800A96EB0AC07894E001CC0D98C715C6A2018EC50AFE64A0BF0EC89602A4ED09F417A6B6078463AC82079073BED90886B50296F506A4E702A2A10680F302AAE908B2EF03A2B00896C603B2C30ABA8506BAD807B8D903B6C909A8E305BC8D01BEAA01D8DF01849501D28A0C90C907D4D6568EAA36DEF10BC49B07C8AF28B4BB1A00000000
2,9577.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.00000000,Transformational Subway,1.00000000,[1252026],196 SOMERVILLE AVE, ,Washington Street,Rapid Transit, ,7341100.00000000,8932200.00000000,746400.00000000,17019700.00000000,0.90000000,1975.00000000,7.69000000,5357654.00000000,2214421.27464477,7.69000000,323.43000000,0.00000000,0.00000000,95.00000000,2.00000000,49.40000000,702421.00000000,1327192.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,804.00000000,664.00000000,277762.00000000,2182930.00000000,0.44000000,0.87000000,1.00000000,0.91000000,0.90000000,3.89000000,5.00000000,1905168.00000000,1.00000000,6.00000000,100.00000000,5.00000000,99.80000000,-71.09036212,42.37677163,310100002F000000080010006A6900009504000001100004B3BDFF96B315839DA1A5A511D6BE049ACC02D29804828402E0AE07ACC903CCEE0690AA03E8AC0388D001F8B00BB0C205F62ABC14C2B20DA2BF06E6810AEAC115D0EE02F29206E0A001F0D902C2A01F96F40EF2DD0484A102C477DAC608ECE201C0A610E8C11DFCE605B8B509ECF42FAAEF02D2CD0EAAB101DEF005908E04E8D414FCA101F816E49702D222C29802F820C29802FA1FC29802FC1EE29802C01EC29802C41DF6A802CA1DD0C909F4964888F60DF6E103969A0EE2CC039CB907C4C70180810DD0B202A8C2E201E0C522DCE00F9ED02FF2688ABE02CAD2029CA009DC8502AEAE09C09E04B4F316E0D20188CC08DCB30DB4AF46F4AF1784FA0ED29023B2C116E2BF06A2CC03CED70984C705FADB11A69F0A00000000
3,9967.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Transformational Subway,0.00000000,1242329, , ,Assembly,Rapid Transit, ,8492300.00000000,5130800.00000000,1099000.00000000,14722100.00000000,0.00000000,2004.00000000,2.25000000,5357654.00000000,6530499.63090851,2.25000000,142.68000000,0.01000000,8.00000000,95.00000000,2.00000000,36.10000000,700445.00000000,1358265.00000000,0.00000000,7.60000000,0.00000000,10.90000000,0.00000000,0.00000000,0.00000000,0.00000000,236.00000000,195.00000000,240265.00000000,839815.00000000,0.30000000,0.86000000,0.97000000,0.90000000,0.93000000,3.88000000,5.00000000,599551.00000000,2.00000000,7.00000000,98.60000000,5.00000000,99.80000000,-71.08525206,42.39099618,8800000011000000080010006A690000AC01000001100004BFD5949BB31595A3B9B3A51184E5129A801982AA018EE201A48206BEFE07A2A30BB2A70FEE93288EB53FC6E720CC9D2CEE9009FCA70CC6A526FE8933D8AC23ECB52EC4F106F48409F08902ECDB028AC501E29F01A2F30BEAFD0884E918FCDD12B2E811CAB90D869847BEDA5EF0001500
4,9695.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Transformational Subway,1.00000000,[1251240],400 SOMERVILLE AVE, ,Union Square Glx,Rapid Transit, ,4197200.00000000,3883700.00000000,301200.00000000,8382100.00000000,0.93000000,1970.00000000,3.37000000,5357654.00000000,2488247.91973000,3.37000000,107.21000000,0.00000000,0.00000000,89.00000000,3.00000000,57.20000000,619365.00000000,1205903.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,352.00000000,291.00000000,136796.00000000,1254880.00000000,0.32000000,0.86000000,1.00000000,0.90000000,0.86000000,3.83000000,5.00000000,1118084.00000000,3.00000000,15.00000000,97.20000000,5.00000000,99.50000000,-71.10157346,42.38099986,BD0000001B000000080010006A690000A102000001100004B189CE8EB3158985F6A8A51192FC15BCF331D2FC158AD809E0B42CAACA13D0C21AAED80BC2C20796A803E028A811C8B116E2DD468E42FE1EB8A904CE8002C8A207C0FA16E8DB24A4CA0BF8C418E8C34D92EA05F0EB0188CE1AF4B408FA47ECE201AAA61AC4A808BCC008CCD802BA9710F88E05A6D023D49D0BB2DD0498C40B8EB001D84894A70BAEC41BDA840192369CD30588E20D9EBC1188E126A2E706B2BB0F00000000
5,9766.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Neighborhood Subway,1.00000000,[1250640],275 BEACON ST, ,Porter,Rapid Transit,MBTA Key Bus Route: 77,2618400.00000000,1610900.00000000,153400.00000000,4382700.00000000,0.62000000,1965.00000000,2.07000000,5357654.00000000,2119898.99067812,2.07000000,75.72000000,0.00000000,0.00000000,88.00000000,3.00000000,57.20000000,604928.00000000,1222512.00000000,0.00000000,4.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,172.00000000,128.00000000,71526.00000000,556942.00000000,0.36000000,0.86000000,1.00000000,0.90000000,0.85000000,3.81000000,5.00000000,485416.00000000,4.00000000,17.00000000,95.80000000,5.00000000,99.50000000,-71.11184932,42.38344980,700000000D000000080010006A6900009401000001100004B9F0AD86B315B78A90ABA511A8D403BCEB07B0E610A6F526DED95580AB4ADEB702E2CE04E0CD21F6BC3FD4B60DFAF6189CBD0DF0E10E98CA38E4DB3D90AE05FEE6058E950F88D81E86FE0AECA30680900DA6E51DF0001500
6,9986.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Neighborhood Subway,4.00000000,[1242292 1243209 1246858 1246907],9 - 15 TEMPLE ST; 299 - 311 BROADWAY, ,Gilman Square Glx,Rapid Transit, ,2988400.00000000,2510900.00000000,218100.00000000,5717400.00000000,0.84000000,1970.00000000,2.72000000,5357654.00000000,2101407.61313967,2.72000000,106.69000000,0.00000000,0.00000000,85.00000000,2.00000000,36.10000000,578332.00000000,1305063.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,226.00000000,169.00000000,93308.00000000,732945.00000000,0.53000000,0.85000000,1.00000000,0.89000000,0.84000000,3.77000000,5.00000000,639637.00000000,5.00000000,30.00000000,94.40000000,5.00000000,99.00000000,-71.09221676,42.39260159,160100002A000000080010006A690000BA0300000110000485F59095B31591A0DEB5A511E8D61480E10BC4D401C8DC02E8E410CA9C1EEA9309F28D0FE4B104F6BC07EAF80CF2951688EA0DF8B409AAFF11D2C80CAAA326FCDC1AAE8F11E6AB0BE231E644AAE02FD4D121AC2E9C3392F405DCB2048ECD16828116A0CB0FD4C50FA6F50480EE04CCC70F80C10FF89207A28F07949B0AB6EA0AA48F039AA703AE8B07BEC20790699C6FE4C00B8AD30BCE830CB0960CA4A5158A8615EAE60BAEE50BD0059005CACE16F6AC16DAE20B9EF40BC6C20CB2B40CCAAB0BDE9A0BD2F90382FF03D8CB01CCCF01F2CE02A8D202AAB02392FC22EAB3138A9F13ECCB04A4CE04F0E313DAD613C68B0E8E8408D0FD0D88FC070000F000
7,9949.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Transformational Subway,1.00000000,[1242329],771 MCGRATH HWY, ,Assembly,Rapid Transit, ,8492300.00000000,5130800.00000000,1099000.00000000,14722100.00000000,0.60000000,2004.00000000,1.60000000,5357654.00000000,9179753.73996323,1.60000000,142.68000000,0.01000000,9.00000000,95.00000000,1.00000000,36.10000000,700445.00000000,1357659.00000000,0.00000000,19.90000000,0.00000000,0.60000000,0.00000000,0.00000000,0.00000000,0.00000000,168.00000000,139.00000000,240265.00000000,597447.00000000,0.30000000,0.80000000,1.00000000,0.90000000,0.86000000,3.75000000,5.00000000,357182.00000000,6.00000000,35.00000000,93.00000000,5.00000000,98.90000000,-71.08459038,42.39060509,BC01000060000000080010006A690000A006000001100004ADA1B79BB315A7F2D9B2A511ACD90A90C40EBCCD07A6ED098AC60AA6B20EB4B504A28306ACE710A49416AE37A64E9E32BA51902DB2548028A8579422805A861CBA5BB616965D8E10905F9E0A905FB0048E60FA018C60E8078E60F40DB25EC014925EEE19B85CDA1FBE5AE825A658F82A8C56C6309653DC518676DA8910A08915E2D70C84DE0FEC4C905FCA1BBA29C21DA028C21E8028DA1FA426F820A825D222AC24D0238E23EA24B621C826B620E4269C1FC028A21DFE28A41CFA298A1BF82AAE19F42B9218F02C9816D02D9C15EE2DA213EC2EA811C82F8C10C830B00EC630B80CE430BC0AC431A209E2318608E231AE05E231B204C0329802C0323CC2327CC032D802E231D404E231CC06E231E607C231E209E630DC0BC630F80CC630D20ECA2FCC10EC2EE811EE2DE213EE2DFC14D22CF816F42BF417F82AEE19FA29C81BFE28E61CC028C01EC227DC1FE825D820EC24F421EE23D023F421EA24D621E825DC1FE626C01EE227C21DFC28CA1BFA29CC1ADA2AD218F42BF816D22CFAB61BF29C24D8D233CE994480C11CC0B416AE840CF68D0992A70FE4F20BAA88168CFC1D00000000
8,9457.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.00000000,Transformational Subway,2.00000000,[1252486 1252510],"13, 15, 17, 21 MCGRATH HWY",28,Lechmere,Rapid Transit, ,2983400.00000000,1780700.00000000,236700.00000000,5000800.00000000,0.60000000,1988.00000000,1.12000000,5357654.00000000,4460008.05797080,1.12000000,40.55000000,0.00000000,29.00000000,86.00000000,1.00000000,49.40000000,702779.00000000,1331003.00000000,0.00000000,5.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,117.00000000,97.00000000,81613.00000000,318458.00000000,0.71000000,0.80000000,1.00000000,0.91000000,0.83000000,3.74000000,5.00000000,236845.00000000,7.00000000,38.00000000,91.50000000,5.00000000,98.80000000,-71.08209984,42.37422836,6A0000000C000000080010006A6900008E0100000110000485FED59DB315A1B6B8A1A51182B316AAF118B4EE03A6A504DCE609B0C908DAB641B0803AFE8328D2F731EAA107CC8709AAF71FEA8615B0A60AE8E506AEA706D6960480CB20FCC615A08F0F92E61000000000
9,9588.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.00000000,Transformational Subway,1.00000000,[1251875],52 MCGRATH HWY, ,Washington Street,Rapid Transit, ,1613200.00000000,610400.00000000,89700.00000000,2313300.00000000,0.38000000,1976.00000000,0.72000000,5357654.00000000,3219260.56117943,0.72000000,8.66000000,0.00000000,17.00000000,91.00000000,2.00000000,49.40000000,702421.00000000,1330288.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,75.00000000,62.00000000,37753.00000000,204091.00000000,0.11000000,0.86000000,1.00000000,0.91000000,0.78000000,3.73000000,5.00000000,166338.00000000,8.00000000,40.00000000,90.10000000,5.00000000,98.70000000,-71.08986953,42.37800600,760000000E000000080010006A6900009A01000001100004A181B497B31593B0B4A5A511A6EB04BC9B07D0F00394B504A4970296B60980AA128ACA03DADD0584E31EECA601BAFD06FEA521B2ED0FC4C020FCAC06A6DF03CAE613A0D808FADB2F84B517C6F20BBCA507D2DE04889A08B89E0C00000000
10,9771.00000000,274.00000000,Somerville,378.00000000,382.00000000,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.00000000,Neighborhood Subway,2.00000000,[1250572 1250670],622 - 624 SOMERVILLE AVE, ,Porter,Rapid Transit,MBTA Key Bus Route: 77,2627800.00000000,2625200.00000000,248800.00000000,5501800.00000000,1.00000000,1920.00000000,1.96000000,5357654.00000000,2800198.24892810,1.96000000,115.71000000,0.00000000,16.00000000,88.00000000,3.00000000,57.20000000,604928.00000000,1212085.00000000,0.00000000,8.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,163.00000000,122.00000000,89789.00000000,529297.00000000,0.65000000,0.84000000,1.00000000,0.90000000,0.79000000,3.72000000,5.00000000,439507.00000000,9.00000000,45.00000000,88.70000000,5.00000000,98.50000000,-71.11063450,42.38377260,7B0000000F000000080010006A6900009F010000011000048FA1CA87B3159BF5EDABA511E4D13D82AA12D2ED02A46CE2E014889606D0F4099E8703CCD41D8AC60AD09105BE9902C6E617B8990AC89E11C8A727BC8D22D0971D82FA30D0B92B98EA0AC0AF08A89502F6DF01A89F21C6A71AACD52998FF6000F00015
