line,branch,seq,long,lat
Blue,Blue|Bowdoin,0,-70.991535,42.413638
Blue,Blue|Bowdoin,1,-70.992408,42.411689
Blue,Blue|Bowdoin,2,-70.992685,42.409661
Blue,Blue|Bowdoin,3,-70.991407,42.400694
Blue,Blue|Bowdoin,4,-70.99154,42.399105
Blue,Blue|Bowdoin,5,-70.991993,42.39804
Blue,Blue|Bowdoin,6,-70.996355,42.391453
Blue,Blue|Bowdoin,7,-70.997324,42.390282
Blue,Blue|Bowdoin,8,-70.998328,42.389453
Blue,Blue|Bowdoin,9,-71.000489,42.388233
Blue,Blue|Bowdoin,10,-71.01071,42.384796
Blue,Blue|Bowdoin,11,-71.015914,42.380954
Blue,Blue|Bowdoin,12,-71.016808,42.380506
Blue,Blue|Bowdoin,13,-71.018186,42.380196
Blue,Blue|Bowdoin,14,-71.021458,42.380111
Blue,Blue|Bowdoin,15,-71.024418,42.379051
Blue,Blue|Bowdoin,16,-71.028216,42.37637
Blue,Blue|Bowdoin,17,-71.029676,42.374762
Blue,Blue|Bowdoin,18,-71.032145,42.372659
Blue,Blue|Bowdoin,19,-71.033144,42.372315
Blue,Blue|Bowdoin,20,-71.036022,42.372227
Blue,Blue|Bowdoin,21,-71.038809,42.369957
Blue,Blue|Bowdoin,22,-71.047883,42.360115
Blue,Blue|Bowdoin,23,-71.050439,42.359876
Blue,Blue|Bowdoin,24,-71.051689,42.359543
Blue,Blue|Bowdoin,25,-71.056119,42.358952
Blue,Blue|Bowdoin,26,-71.057709,42.358891
Blue,Blue|Bowdoin,27,-71.059308,42.359166
Blue,Blue|Bowdoin,28,-71.060531,42.360588
Blue,Blue|Bowdoin,29,-71.062395,42.36118
Green,Green-B|Boston College,0,-71.116794,42.407691
Green,Green-B|Boston College,1,-71.106007,42.39325
Green,Green-B|Boston College,2,-71.104594,42.391837
Green,Green-B|Boston College,3,-71.10303,42.390863
Green,Green-B|Boston College,4,-71.094581,42.386996
Green,Green-B|Boston College,5,-71.093407,42.386305
Green,Green-B|Boston College,6,-71.091464,42.384551
Green,Green-B|Boston College,7,-71.089925,42.382746
Green,Green-B|Boston College,8,-71.08337,42.376292
Green,Green-B|Boston College,9,-71.081425,42.375031
Green,Green-B|Boston College,10,-71.080999,42.374127
Green,Green-B|Boston College,11,-71.080345,42.373447
Green,Green-B|Boston College,12,-71.076762,42.371858
Green,Green-B|Boston College,13,-71.075403,42.370578
Green,Green-B|Boston College,14,-71.066764,42.366303
Green,Green-B|Boston College,15,-71.064332,42.365627
Green,Green-B|Boston College,16,-71.062022,42.366505
Green,Green-B|Boston College,17,-71.061417,42.366493
Green,Green-B|Boston College,18,-71.058147,42.362973
Green,Green-B|Boston College,19,-71.058034,42.360846
Green,Green-B|Boston College,20,-71.060584,42.357811
Green,Green-B|Boston College,21,-71.063349,42.355287
Green,Green-B|Boston College,22,-71.064808,42.352502
Green,Green-B|Boston College,23,-71.067135,42.352589
Green,Green-B|Boston College,24,-71.068292,42.352427
Green,Green-B|Boston College,25,-71.085472,42.347838
Green,Green-B|Boston College,26,-71.088178,42.348076
Green,Green-B|Boston College,27,-71.091707,42.347988
Green,Green-B|Boston College,28,-71.092174,42.348133
Green,Green-B|Boston College,29,-71.093277,42.348962
Green,Green-B|Boston College,30,-71.098394,42.348996
Green,Green-B|Boston College,31,-71.124649,42.352131
Green,Green-B|Boston College,32,-71.127075,42.350715
Green,Green-B|Boston College,33,-71.128132,42.350526
Green,Green-B|Boston College,34,-71.130592,42.35057
Green,Green-B|Boston College,35,-71.135719,42.348255
Green,Green-B|Boston College,36,-71.136642,42.348252
Green,Green-B|Boston College,37,-71.138915,42.34894
Green,Green-B|Boston College,38,-71.139939,42.348806
Green,Green-B|Boston College,39,-71.140364,42.348445
Green,Green-B|Boston College,40,-71.141088,42.346274
Green,Green-B|Boston College,41,-71.142965,42.343473
Green,Green-B|Boston College,42,-71.14389,42.342486
Green,Green-B|Boston College,43,-71.145714,42.341642
Green,Green-B|Boston College,44,-71.148888,42.341446
Green,Green-B|Boston College,45,-71.150242,42.341014
Green,Green-B|Boston College,46,-71.151635,42.34004
Green,Green-B|Boston College,47,-71.152638,42.33856
Green,Green-B|Boston College,48,-71.153216,42.338049
Green,Green-B|Boston College,49,-71.15427,42.338167
Green,Green-B|Boston College,50,-71.156802,42.339306
Green,Green-B|Boston College,51,-71.159123,42.33989
Green,Green-B|Boston College,52,-71.163529,42.340099
Green,Green-B|Boston College,53,-71.166556,42.34002
Green,Green-C|Cleveland Circle,0,-71.116794,42.407691
Green,Green-C|Cleveland Circle,1,-71.106007,42.39325
Green,Green-C|Cleveland Circle,2,-71.104594,42.391837
Green,Green-C|Cleveland Circle,3,-71.10303,42.390863
Green,Green-C|Cleveland Circle,4,-71.094581,42.386996
Green,Green-C|Cleveland Circle,5,-71.093407,42.386305
Green,Green-C|Cleveland Circle,6,-71.091464,42.384551
Green,Green-C|Cleveland Circle,7,-71.089925,42.382746
