zip_code,postal_area_name,city,county,chia_region
01001,Agawam,Agawam,Hampden,Western Massachusetts
01002,Amherst,Amherst,Hampshire,Western Massachusetts
01002,Amherst,Shutesbury,Franklin,Western Massachusetts
01003,Amherst,Amherst,Hampshire,Western Massachusetts
01004,Amherst,Amherst,Hampshire,Western Massachusetts
01005,Barre,Barre,Worcester,Central Massachusetts
01007,Belchertown,Belchertown,Hampshire,Western Massachusetts
01008,Blandford,Blandford,Hampden,Western Massachusetts
01008,Blandford,Otis,Berkshire,Western Massachusetts
01009,Bondsville,Palmer,Hampden,Western Massachusetts
01010,Brimfield,Warren,Worcester,Central Massachusetts
01010,Brimfield,Brimfield,Hampden,Central Massachusetts
01011,Chester,Middlefield,Hampshire,Western Massachusetts
01011,Chester,Chester,Hampden,Western Massachusetts
01012,Chesterfield,Chesterfield,Hampshire,Western Massachusetts
01013,Chicopee,Chicopee,Hampden,Western Massachusetts
01014,Chicopee,Chicopee,Hampden,Western Massachusetts
01020,Chicopee,Chicopee,Hampden,Western Massachusetts
01021,Chicopee,Chicopee,Hampden,Western Massachusetts
01022,Chicopee,Chicopee,Hampden,Western Massachusetts
01026,Cummington,Cummington,Hampshire,Western Massachusetts
01026,Cummington,Windsor,Berkshire,Western Massachusetts
01027,Easthampton,Westhampton,Hampshire,Western Massachusetts
01028,East Longmeadow,East Longmeadow,Hampden,Western Massachusetts
01029,East Otis,Otis,Berkshire,Western Massachusetts
01030,Feeding Hills,Agawam,Hampden,Western Massachusetts
01031,Gilbertville,Hardwick,Worcester,Western Massachusetts
01032,Goshen,Goshen,Hampshire,Western Massachusetts
01033,Granby,Granby,Hampshire,Western Massachusetts
01034,Granville,Granville,Hampden,Western Massachusetts
01035,Hadley,Hadley,Hampshire,Western Massachusetts
01036,Hampden,Hampden,Hampden,Western Massachusetts
01037,Hardwick,Hardwick,Worcester,Western Massachusetts
01038,Hatfield,Hatfield,Hampshire,Western Massachusetts
01039,Haydenville,Williamsburg,Hampshire,Western Massachusetts
01039,Haydenville,Whately,Franklin,Western Massachusetts
01040,Holyoke,Holyoke,Hampden,Western Massachusetts
01041,Holyoke,Holyoke,Hampden,Western Massachusetts
01050,Huntington,Chester,Hampden,Western Massachusetts
01050,Huntington,Huntington,Hampshire,Western Massachusetts
01053,Leeds,Northampton,Hampshire,Western Massachusetts
01054,Leverett,Leverett,Franklin,Western Massachusetts
01056,Ludlow,Ludlow,Hampden,Western Massachusetts
01057,Monson,Monson,Hampden,Western Massachusetts
01059,North Amherst,Amherst,Hampshire,Western Massachusetts
01060,Northampton,Northampton,Hampshire,Western Massachusetts
01061,Northampton,Northampton,Hampshire,Western Massachusetts
01062,Florence,Northampton,Hampshire,Western Massachusetts
01063,Northampton,Northampton,Hampshire,Western Massachusetts
01066,North Hatfield,Hatfield,Hampshire,Western Massachusetts
01068,Oakham,Oakham,Worcester,Central Massachusetts
01069,Palmer,Palmer,Hampden,Western Massachusetts
01070,Plainfield,Plainfield,Hampshire,Western Massachusetts
01071,Russell,Russell,Hampden,Western Massachusetts
01072,Shutesbury,Shutesbury,Franklin,Western Massachusetts
01073,Southampton,Southampton,Hampshire,Western Massachusetts
01074,South Barre,Barre,Worcester,Central Massachusetts
01075,South Hadley,South Hadley,Hampshire,Western Massachusetts
01077,Southwick,Southwick,Hampden,Western Massachusetts
01079,Thorndike,Palmer,Hampden,Western Massachusetts
01080,Three Rivers,Palmer,Hampden,Western Massachusetts
01081,Wales,Wales,Hampden,Central Massachusetts
01082,Ware,Hardwick,Worcester,Western Massachusetts
01082,Ware,Ware,Hampshire,Western Massachusetts
01083,Warren,Warren,Worcester,Western Massachusetts
01084,West Chesterfield,Chesterfield,Hampshire,Western Massachusetts
01085,Westfield,Westfield,Hampden,Western Massachusetts
01086,Westfield,Westfield,Hampden,Western Massachusetts
